"","rank","Youtuber","subscribers","video.views","category","Title","uploads","Country","Abbreviation","channel_type","video_views_rank","country_rank","channel_type_rank","video_views_for_the_last_30_days","lowest_monthly_earnings","highest_monthly_earnings","lowest_yearly_earnings","highest_yearly_earnings","subscribers_for_last_30_days","created_year","created_month","created_date","Gross.tertiary.education.enrollment....","Population","Unemployment.rate","Urban_population","Latitude","Longitude"
"885",885,"Technology Gyan",16.3957273875566,20.8527687752337,"Science & Technology","Technology Gyan",1022,"India","IN","Tech",9955,118,17,16.7342537899901,8.43381158247719,11.2131708112842,10.9259384802387,13.6977400222298,1e+05,2015,"Nov",17,28.1,21.0354583741811,5.36,2.9942529593165,20.593684,78.96288
"886",886,"CookingShooking Hindi",16.3957273875566,21.2877856916936,"People & Blogs","CookingShooking Hindi",393,"India","IN","Howto",5855,118,33,16.2569876498249,7.97246601597457,10.7363966754712,10.4487146030195,13.2203971176757,349153.834094369,2017,"Apr",4,28.1,21.0354583741811,5.36,2.9942529593165,20.593684,78.96288
"887",887,"Ryan Trahan",16.3881227881714,21.5038062425827,"Entertainment","Ryan Trahan",33,"USA","US","People",4051001,7683,7670,5.51342874616498,-2.81341071676004,-0.0100503358535015,-0.301105092783922,2.484906649788,1,2022,"Jun",27,88.2,19.6092541528922,14.7,2.96611730578511,37.09024,-95.712891
"888",888,"Alex Gonzaga Official",16.3881227881714,21.0611046486641,"People & Blogs","Alex Gonzaga Official",287,"Philippines","PH","People",7733,11,56,16.1994912891623,7.90100705199242,10.6782147200885,10.3889953683178,13.162929339151,349153.834094369,2017,"Jul",18,35.5,18.4987209710763,2.15,2.87620880108765,12.879721,121.774017
"889",889,"WiederDude",16.3881227881714,21.728915545108,"nan","WiederDude",289,"USA","US","Games",3275,169,65,17.8567004453819,9.56099724358935,12.3353449812343,12.0476629087825,14.8087623309746,1e+05,2016,"Jun",12,88.2,19.6092541528922,14.7,2.96611730578511,37.09024,-95.712891
"890",890,"Ian Boggs",16.3881227881714,22.9326767694417,"Entertainment","Ian Boggs",1327,"nan","nan","Entertainment",520,-1,163,19.612516187618,11.3181263866652,14.0778748224318,13.8033367570326,16.5755204979972,7e+05,2010,"Mar",25,-1,-4.60517018598809,-1,-4.60517018598809,-1,0
"891",891,"Lokdhun Punjabi",16.3881227881714,22.2735108061356,"Music","Lokdhun Punjabi",1262,"India","IN","Music",1484,119,143,17.3546711638283,9.0595174822416,11.8335586375617,11.5453926551077,14.3461388090264,1e+05,2010,"Dec",27,28.1,21.0354583741811,5.36,2.9942529593165,20.593684,78.96288
"892",892,"Knowledge Tv ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½",16.3881227881714,21.3841907639854,"People & Blogs","Knowledge Tv ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½",7,"nan","nan","People",4054334,-1,7714,0.693147180559945,-4.60517018598809,-4.60517018598809,-4.60517018598809,-2.30258509299405,349153.834094369,2019,"Nov",24,-1,-4.60517018598809,-1,-4.60517018598809,-1,0
"893",893,"Painzeiro",16.3881227881714,21.6616318282016,"People & Blogs","Painzeiro",1077,"Brazil","BR","People",3545,50,56,17.5994728933249,9.30565055178051,12.0782392740203,11.7905572015685,14.5574479026937,1e+05,2015,"Nov",6,51.3,19.1747321166571,12.08,2.94582308834056,-14.235004,-51.92528
"894",894,"Peppa Pig em Portuguï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿",16.3881227881714,22.1617192029808,"Film & Animation","Peppa Pig em Portuguï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½",1365,"Brazil","BR","Film",1770,49,43,17.1238613892601,8.8246778911642,11.60276616897,11.3144745262464,14.0778748224318,1e+05,2014,"May",6,51.3,19.1747321166571,12.08,2.94582308834056,-14.235004,-51.92528
"895",895,"ýýýýýýýýýýýýýýý Ms Yeah",16.3881227881714,22.2048325594282,"People & Blogs","ýýýýýýýýýýýýýýý Ms Yeah",435,"USA","US","Howto",1650,169,34,17.9208115454169,9.62905070683437,12.3991692754921,12.1117619660589,14.8802212949567,1e+05,2017,"Feb",15,88.2,19.6092541528922,14.7,2.96611730578511,37.09024,-95.712891
"896",896,"Hungria Hip Hop",16.3881227881714,22.2512229091399,"Music","Hungria Hip Hop",73,"Brazil","BR","Music",1541,50,143,17.6913466436306,9.40096073158483,12.1699271988938,11.8824179126196,14.6484196808994,349153.834094369,2013,"Apr",13,51.3,19.1747321166571,12.08,2.94582308834056,-14.235004,-51.92528
"897",897,"RaptorGamer",16.3881227881714,21.7808005137047,"People & Blogs","RaptorGamer",1444,"Ecuador","EC","Games",3044,2,65,17.9571997956958,9.6614159913364,12.4355958038084,12.1479137313566,14.9141228466324,3e+05,2016,"Jul",16,44.9,16.6704659392557,3.97,2.7864891637504,-1.831239,-78.183406
"898",898,"RedeTV",16.3881227881714,22.3972865121644,"Entertainment","RedeTV",36760,"Brazil","BR","Entertainment",1240,50,165,16.6827274092828,8.38935981990635,11.1619485421461,10.8742664696944,13.6461447123305,349153.834094369,2011,"Oct",18,51.3,19.1747321166571,12.08,2.94582308834056,-14.235004,-51.92528
"899",899,"twenty one pilots",16.3881227881714,22.384164568745,"Music","twenty one pilots",194,"USA","US","Music",1255,169,143,17.7458056081799,9.44935727244668,12.2244036022149,11.9368851557146,14.6909792953182,349153.834094369,2009,"Sep",5,88.2,19.6092541528922,14.7,2.96611730578511,37.09024,-95.712891
"900",900,"DJ Khaled",16.3881227881714,22.6160495434017,"Music","DjKhaled",12,"Samoa","WS","Music",3967392,81,5659,5.93753620508243,-2.40794560865187,0.693147180559945,0,2.89037175789616,3,2006,"May",27,7.6,12.2185247947194,8.36,2.34944613869275,-13.759029,-172.104629
"901",901,"Davie504",16.3804599154258,21.7103124156462,"Entertainment","Davie504",838,"Italy","IT","Entertainment",3340,2,166,17.2123651901923,8.9226582995244,11.6910716503537,11.403110598963,14.1519827945855,1e+05,2011,"May",18,61.9,17.9147994766854,9.89,2.86611230287646,41.87194,12.56738
"902",902,"Everson Zoio",16.3804599154258,20.7474390668761,"Comedy","Everson Zoio",625,"Brazil","BR","Entertainment",11340,51,166,14.9313076713865,6.63725803128446,9.40919123072135,9.12695876303713,11.8947807074393,349153.834094369,2009,"Mar",26,51.3,19.1747321166571,12.08,2.94582308834056,-14.235004,-51.92528
"903",903,"Calon Sarjana",16.3804599154258,16.1824389968004,"Entertainment","Calon Sarjana",29,"Indonesia","ID","Entertainment",772571,31,166,21.5526906357989,-4.60517018598809,-4.60517018598809,-4.60517018598809,-4.60517018598809,3e+05,2016,"Jan",20,36.3,19.4146874800544,4.69,2.93577844613103,-0.789275,113.921327
"904",904,"Lofi Girl",16.3804599154258,21.2528815479158,"Music","Lofi Girl",409,"France","FR","Music",6059,3,143,17.2322859695897,8.93590352627442,11.7109563154694,11.4230007574422,14.2209756660724,1e+05,2015,"Mar",18,65.6,18.0210966139428,8.43,2.87957908807941,46.227638,2.213749
"905",905,"Jomy Production",16.3804599154258,22.344071541695,"Entertainment","SRK Edie soon",8,"India","IN","nan",3686280,5227,-1,0.693147180559945,-4.60517018598809,-4.60517018598809,-4.60517018598809,-2.30258509299405,349153.834094369,2021,"Mar",18,28.1,21.0354583741811,5.36,2.9942529593165,20.593684,78.96288
"906",906,"GH'S",16.3804599154258,22.8910815884018,"Gaming","GH'S",510,"South Korea","KR","Games",553,15,65,20.8011523756035,12.5072877322645,15.2741255806638,14.97866136777,17.7648293481361,1e+06,2020,"Jul",7,94.3,17.7611443007857,4.15,2.86537970209776,35.907757,127.766922
"907",907,"JesseAndMike",16.3804599154258,23.0257747507389,"Entertainment","JesseAndMike",716,"USA","US","Entertainment",440,170,166,17.5317376335964,9.23989917421773,12.0100577616042,11.7223756891524,14.5086577385242,349153.834094369,2007,"Apr",29,88.2,19.6092541528922,14.7,2.96611730578511,37.09024,-95.712891
"908",908,"Wolfoo Channel",16.3804599154258,19.5244390789819,"nan","Wolfoo Channel",22,"Pakistan","PK","People",4035874,3926,7638,6.38012253689976,-1.89711998488588,0.693147180559945,0.693147180559945,3.3322045101752,8,2021,"Aug",11,9,19.1934027596736,4.45,2.90123662146597,30.375321,69.345116
"909",909,"Susy Mouriz",16.3804599154258,22.5591871613059,"Entertainment","Susy Mouriz",1299,"Mexico","MX","Entertainment",969,31,165,19.7247802916128,11.4306302222434,14.2209756660724,13.9108207377686,16.6890751975441,6e+05,2017,"Mar",18,40.2,18.6519037603095,3.42,2.91488062678108,23.634501,-102.552784
